Name,Team,City,Position,Jersey,Height (ft),Weight (lbs),Draft Year,Draft Round,Draft Number,School,Birthday,Start Year,End Year,PTS,AST,REB
Jimmy King,Raptors,Toronto,Guard,13,6.5,210,1995,2,35,Michigan,8/9/1973,1995,1996,4.5,1.4,1.8
Louis King,Pistons,Detroit,Forward,14,6.7,205,Undrafted,Undrafted,Undrafted,Oregon,4/6/1999,2019,Present,2,0.5,1
Maury King,Zephyrs,Chicago,Guard,22,6.2,195,1957,6,48,Kansas,3/12/1935,1959,1962,5.9,3.8,2.8
Reggie King,Kings,Kansas City,Forward,51,6.6,225,1979,1,18,Alabama,2/14/1957,1979,1984,8.9,1.6,6.2
Rich King,SuperSonics,Seattle,Center,45,7.2,260,1991,1,14,Nebraska,4/4/1969,1991,1994,1.9,0.3,1
Stacey King,Bulls,Chicago,Forward-Center,33,6.1,250,1989,1,6,Oklahoma,1/29/1967,1989,1996,6.4,0.9,3.3
Tom King,Falcons,Detroit,Guard,,6,165,Undrafted,Undrafted,Undrafted,Michigan,3/9/1924,1946,1946,5.1,0.6,
Bob Kinney,Celtics,Boston,Center,22,6.6,215,Undrafted,Undrafted,Undrafted,Rice,9/16/1920,1948,1949,9.5,1.5,
Tarence Kinsey,Grizzlies,Memphis,Guard,8,6.6,189,Undrafted,Undrafted,Undrafted,South Carolina,3/21/1984,2006,2008,4.7,0.5,1.3
Andrei Kirilenko,,,,,,,1999,1,24,,2/18/1981,2001,2014,11.8,2.7,5.5
Alex Kirk,,,,,,,Undrafted,Undrafted,Undrafted,New Mexico,11/14/1991,2014,2014,0.8,0.2,0.2
Walt Kirk,Hawks,Milwaukee,Guard,16,6.3,173,Undrafted,Undrafted,Undrafted,Illinois,9/3/1924,1948,1951,7.7,2.1,4
Doug Kistler,Knicks,New York,Forward,5,6.9,210,1961,3,26,Duke,3/21/1938,1961,1961,1.6,0,0.2
Curtis Kitchen,SuperSonics,Seattle,Forward,42,6.9,235,1986,6,122,South Florida,1/30/1964,1986,1986,1.5,0.2,1.5
Greg Kite,Magic,Orlando,Center,54,6.1,250,1983,1,21,Brigham Young,8/5/1961,1983,1994,2.5,0.5,3.8
Kerry Kittles,,,,,,,1996,1,8,Villanova,6/12/1974,1996,2004,14.1,2.6,3.9
Maxi Kleber,Mavericks,Dallas,Forward,42,6.1,240,Undrafted,Undrafted,Undrafted, ,1/29/1992,2017,Present,9.1,1.2,5.2
Joe Kleine,,,,,,,1985,1,6,Arkansas,1/4/1962,1985,1999,4.8,0.6,4.1
Linas Kleiza,Nuggets,Denver,Forward,11,6.8,234,2005,1,27,Missouri,1/3/1985,2005,2012,8.7,0.8,3.6
Leo Klier,Pistons,Ft. Wayne Zollner,Guard,7,6.2,170,Undrafted,Undrafted,Undrafted,Notre Dame,5/21/1923,1948,1949,7.1,1.6,
Herm Klotz,Bullets,Baltimore,Guard,,5.7,150,Undrafted,Undrafted,Undrafted,Villanova,10/21/1921,1947,1947,1.4,0.6,
Duane Klueh,Pistons,Ft. Wayne Zollner,Guard,6,6.3,175,1949,8,,Indiana State,1/6/1926,1949,1950,8.2,1.5,3
Billy Knight,Pacers,Indiana,Forward,25,6.6,195,1974,2,21,Pittsburgh,6/9/1952,1976,1984,15.7,2.1,4.5
Bob Knight,Knicks,New York,Guard-Forward,3,6.2,185,Undrafted,Undrafted,Undrafted,,4/14/1905,1954,1954,3.5,4,0.5
Brandin Knight,,,,,,,Undrafted,Undrafted,Undrafted,Pittsburgh,12/16/1981,2004,2004,0,1,0
Brandon Knight,Pistons,Detroit,Guard,20,6.2,182,2011,1,8,Kentucky,12/2/1991,2011,Present,7.3,2.8,1.6
Brevin Knight,Cavaliers,Cleveland,Guard,2,5.1,166,1997,1,16,Stanford,11/8/1975,1997,2008,7.3,6.1,2.4
Negele Knight,,,,,,,1990,2,31,Dayton,3/3/1967,1990,1998,6.2,2.8,1.3
Ron Knight,Trail Blazers,Portland,Forward,38,6.7,215,1970,5,76,Cal State-Los Angeles,8/4/1947,1970,1971,4.7,0.8,2.8
Toby Knight,Knicks,New York,Forward,43,6.9,210,1977,2,32,Notre Dame,5/3/1955,1977,1981,12.9,1.2,5.1
Travis Knight,Lakers,Los Angeles,Center,44,7,235,1996,1,29,Connecticut,9/13/1974,1996,2002,3.4,0.6,3.1
Lee Knorek,Knicks,New York,Center,,6.7,215,Undrafted,Undrafted,Undrafted,Detroit Mercy,7/15/1921,1946,1949,6.7,1.6,
Dick Knostman,Nationals,Syracuse,Center,10,6.6,215,1953,,,Kansas State,8/9/1931,1953,1953,2.6,1.2,3.4
Rod Knowles,Suns,Phoenix,Center,23,6.9,215,1968,6,77,Davidson,2/27/1946,1968,1968,1.1,0,1.1
Kevin Knox II,Knicks,New York,Forward,20,6.7,215,2018,1,9,Kentucky,8/11/1999,2018,Present,6.4,0.9,2.8
Bart Kofoed,Jazz,Utah,Forward,12,6.4,210,1987,5,107,Nebraska-Kearney,3/24/1964,1987,1992,1.5,1,0.5
Don Kojis,Rockets,San Diego,Forward,21,6.3,202,1961,2,21,Marquette,7/15/1939,1963,1974,12.2,1.4,5.6
Milo Komenich,Packers,Anderson,Center,,6.7,212,Undrafted,Undrafted,Undrafted,Wyoming,6/22/1920,1949,1949,9.9,1.9,
Howard Komives,Knicks,New York,Guard,15,6.1,185,1964,2,13,Bowling Green,5/9/1941,1964,1973,10.2,4,2.4
Jon Koncak,Hawks,Atlanta,Center,45,7,250,1985,1,5,Southern Methodist,5/17/1963,1985,1995,4.5,1,4.9
John Konchar,Grizzlies,Memphis,Guard,46,6.5,210,Undrafted,Undrafted,Undrafted,Indiana-Purdue Fort Wayne,3/22/1996,2019,Present,2.8,1.2,2.5
Bud Koper,Warriors,San Francisco,Guard,15,6.6,210,1964,2,14,Oklahoma City,8/9/1942,1964,1964,4.4,0.8,1.1
Joe Kopicki,Bullets,Washington,Forward,50,6.9,240,1982,3,56,Detroit Mercy,6/12/1960,1982,1984,3.7,0.7,2.7
Furkan Korkmaz,76ers,Philadelphia,Guard-Forward,30,6.7,202,2016,1,26, ,7/24/1997,2017,Present,9.8,1.1,2.3
Frank Kornet,Bucks,Milwaukee,Forward,8,6.9,225,1989,2,30,Vanderbilt,1/27/1967,1989,1990,1.9,0.3,1.1
Luke Kornet,Bulls,Chicago,Forward-Center,2,7.2,250,Undrafted,Undrafted,Undrafted,Vanderbilt,7/15/1995,2017,Present,6,0.9,2.3
Yaroslav Korolev,Clippers,Los Angeles,Forward,8,6.9,203,2005,1,12, ,5/7/1987,2005,2006,1.1,0.4,0.5
Kyle Korver,Bucks,Milwaukee,Guard-Forward,26,6.7,212,2003,2,51,Creighton,3/17/1981,2003,Present,6.7,1.2,2.1
Len Kosmalski,Kings,Kansas City,Center,55,6.1,245,1974,2,24,Tennessee,11/29/1951,1974,1975,1.4,0.7,1.9
Andy Kostecka,Jets,Indianapolis,Forward,,6.3,203,1948,,,Georgetown,2/10/1921,1948,1948,6.4,0.7,
Harold Kottman,Celtics,Boston,Center,9,6.8,220,Undrafted,Undrafted,Undrafted,Culver-Stockton,8/22/1922,1946,1946,3.1,0.3,
Kosta Koufos,Kings,Sacramento,Center,41,7,245,2008,1,23,Ohio State,2/24/1989,2008,2018,5.7,0.5,5
Tom Kozelko,Bullets,Washington,Forward,22,6.8,220,1973,3,48,Toledo,7/1/1951,1973,1975,2.2,0.5,1.8
Arvid Kramer,Nuggets,Denver,Center,41,6.9,220,1979,3,45,Augustana (SD),10/2/1956,1979,1979,2,0.4,1.5
Barry Kramer,Warriors,San Francisco,Forward,21,6.4,200,1964,1,6,New York University,11/10/1942,1964,1964,3.6,0.8,1.9
Joel Kramer,Suns,Phoenix,Forward,50,6.7,203,1978,3,63,San Diego State,11/30/1955,1978,1982,3.8,1,2.8
Dan Kraus,Bullets,Baltimore,Guard,,6,195,1948,,,Georgetown,2/13/1923,1948,1948,1.6,0.5,
Herb Krautblatt,Bullets,Baltimore,Guard,,6.1,190,1948,,,Rider,11/19/1926,1948,1948,1.3,0.4,
Viacheslav Kravtsov,,,,,,,Undrafted,Undrafted,Undrafted,Ukraine,8/25/1987,2012,2013,2.2,0.2,1.4
Jim Krebs,Lakers,Los Angeles,Center,32,6.8,230,1957,1,3,Southern Methodist,9/8/1935,1957,1963,8,0.8,6.2
Wayne Kreklow,Celtics,Boston,Guard,20,6.4,175,1979,3,53,Drake,1/4/1957,1980,1980,1.2,0.4,0.5
Tom Kron,SuperSonics,Seattle,Guard,11,6.5,200,1966,3,24,Kentucky,2/28/1943,1966,1968,6.5,2.8,3.3
Tom Kropp,Bulls,Chicago,Guard,44,6.3,205,1975,3,48,Nebraska-Kearney,2/12/1953,1975,1976,2.5,0.6,0.8
Nenad Krstic,Nets,New Jersey,Center,4,7,240,2002,1,24,,7/25/1983,2004,2010,10,0.8,5.4
Larry Krystkowiak,,,,,,,1986,2,28,Montana,9/23/1964,1986,1996,8.2,1.2,4.9
Steve Kuberski,Celtics,Boston,Forward,33,6.8,215,1969,4,52,Bradley,11/6/1947,1969,1977,5.5,0.6,3.8
Leo Kubiak,Hawks,Waterloo,Guard,,5.11,160,1948,,,Bowling Green,12/25/1926,1949,1949,11.5,3.2,
Bruce Kuczenski,Nets,New Jersey,Forward,7,6.1,230,1983,3,59,Connecticut,2/3/1961,1983,1983,1.9,0.5,1.5
Frank Kudelka,Bullets,Baltimore,Guard,14,6.2,193,Undrafted,Undrafted,Undrafted,Saint Mary's (CA),6/25/1925,1949,1952,7.2,2.1,3.2
John Kuester,Kings,Kansas City,Guard,5,6.2,180,1977,3,53,North Carolina,2/6/1955,1977,1979,3.3,2.3,1
Ray Kuka,Knicks,New York,Forward,12,6.3,200,Undrafted,Undrafted,Undrafted,Notre Dame,2/17/1922,1947,1948,4.9,0.7,
Toni Kukoc,Bulls,Chicago,Forward,7,6.1,235,1990,2,29,,9/18/1968,1993,2005,11.6,3.7,4.2
Kevin Kunnert,Rockets,Houston,Center,44,7,230,1973,1,12,Iowa,11/11/1951,1973,1981,8.3,1.4,7.3
Mitch Kupchak,Bullets,Washington,Forward,25,6.9,230,1976,1,13,North Carolina,5/24/1954,1976,1985,10.2,0.7,5.4
Charles Kupec,Lakers,Los Angeles,Center,25,6.6,220,1975,4,56,Michigan,1/16/1953,1975,1977,4.1,0.7,2.1
Rodions Kurucs,Nets,Brooklyn,Forward,0,6.9,228,2018,2,40, ,2/5/1998,2018,Present,4.6,1.1,2.9
Rob Kurz,Warriors,Golden State,Forward,31,6.9,232,Undrafted,Undrafted,Undrafted,Notre Dame,3/5/1985,2008,2009,3.9,0.5,2
Ibrahim Kutluay,,,,,,,Undrafted,Undrafted,Undrafted,Turkey,1/7/1974,2004,2004,0,0,0.2
Kyle Kuzma,Lakers,Los Angeles,Forward,0,6.8,221,2017,1,27,Utah,7/24/1995,2017,Present,12.8,1.3,4.5
Ognjen Kuzmic,Warriors,Golden State,Center,1,7,260,2012,2,52,,5/16/1990,2013,2014,0.9,0.2,1
Mindaugas Kuzminskas,,,,,,,Undrafted,Undrafted,Undrafted,,10/19/1989,2016,2017,6.2,1,1.8
Fred LaCour,Hawks,St. Louis,Guard,12,6.5,210,1960,3,22,San Francisco,2/7/1938,1960,1962,6.5,1.9,3.3
Raef LaFrentz,Nuggets,Denver,Center-Forward,9,6.1,240,1998,1,3,Kansas,5/29/1976,1998,2008,10.1,1.1,6.1
Tom LaGarde,Mavericks,Dallas,Center,34,6.1,220,1977,1,9,North Carolina,2/10/1955,1977,1984,7.6,1.5,5.1
Rusty LaRue,,,,,,,Undrafted,Undrafted,Undrafted,Wake Forest,12/10/1973,1997,2003,5,1.6,1.3
Rudy LaRusso,Lakers,Los Angeles,Forward,35,6.8,220,1959,2,10,Dartmouth,11/11/1937,1959,1968,15.6,2.1,9.4
Zach LaVine,Bulls,Chicago,Guard-Forward,8,6.6,200,2014,1,13,UCLA,3/10/1995,2014,Present,25.5,4.2,4.8
Skal Labissiere,Hawks,Atlanta,Forward-Center,7,6.1,235,2016,1,28,Kentucky,3/18/1996,2016,Present,5.8,1.3,5.1
Sam Lacey,Kings,Kansas City,Center,44,6.1,235,1970,1,5,New Mexico State,3/28/1948,1970,1982,10.3,3.7,9.7
Christian Laettner,Timberwolves,Minnesota,Forward-Center,44,6.1,245,1992,1,3,Duke,8/17/1969,1992,2004,12.8,2.6,6.7
Oliver Lafayette,Celtics,Boston,Guard,0,6.2,190,Undrafted,Undrafted,Undrafted,Houston,5/6/1984,2009,2009,7,2,4
Bill Laimbeer,Pistons,Detroit,Center,40,6.1,245,1979,3,65, ,1/1/1900,1980,1993,12.9,2,9.7
Pete Lalich,Rebels,Cleveland,Forward,,6.2,190,Undrafted,Undrafted,Undrafted,Ohio,6/23/1920,1946,1946,0,0,
Bo Lamar,Lakers,Los Angeles,Guard,11,6.1,180,1973,3,44,Louisiana-Lafayette,4/7/1951,1976,1976,7.1,2.5,1.3
Doron Lamb,Magic,Orlando,Guard,1,6.4,200,2012,2,42,Kentucky,11/6/1991,2012,2013,3.5,0.8,1
Jeremy Lamb,Pacers,Indiana,Guard-Forward,26,6.5,180,2012,1,12,Connecticut,5/30/1992,2012,Present,12.5,2.1,4.3
John Lambert,Cavaliers,Cleveland,Center,24,6.1,225,1975,1,15,Southern California,1/14/1953,1975,1981,3.8,0.6,3.3
Jeff Lamp,Trail Blazers,Portland,Guard,3,6.6,195,1981,1,15,Virginia,3/9/1959,1981,1988,5.1,0.9,1.5
Maciej Lampe,Suns,Phoenix,Forward,15,6.1,275,2003,2,30,Madrid (ESP),2/5/1985,2003,2005,3.4,0.3,2.2
Jim Lampley,76ers,Philadelphia,Forward,11,6.1,230,1983,5,102,Arkansas-Little Rock,7/2/1960,1986,1986,3,0,5
Sean Lampley,,,,,,,2001,2,44,California,9/3/1979,2002,2003,4.5,0.7,2.1
Carl Landry,Kings,Sacramento,Forward,7,6.9,248,2007,2,31,Purdue,9/19/1983,2007,2015,10.8,0.7,4.9
Marcus Landry,,,,,,,Undrafted,Undrafted,Undrafted,Wisconsin,11/1/1985,2009,2009,2.4,0,1.1
Mark Landsberger,Lakers,Los Angeles,Forward,54,6.8,215,1977,2,35,Arizona State,5/21/1955,1977,1983,5.6,0.5,6.1
Jerome Lane,Nuggets,Denver,Forward,30,6.6,230,1988,1,23,Pittsburgh,12/4/1966,1988,1992,5.3,1.5,5.8
Andrew Lang,Suns,Phoenix,Center,28,6.1,275,1988,2,28,Arkansas,6/28/1966,1988,1999,6,0.6,4.8
Antonio Lang,,,,,,,1994,2,29,Duke,5/15/1972,1994,1999,2.3,0.3,1.5
James Lang,,,,,,,2003,2,48,Central Park Christian,10/17/1983,2006,2006,1,0.2,1
Trajan Langdon,,,,,,,1999,1,11,Duke,5/13/1976,1999,2008,5.4,1.3,1.3
Keith Langford,,,,,,,Undrafted,Undrafted,Undrafted,Kansas,9/15/1983,2007,2007,1,0,1
Romeo Langford,Celtics,Boston,Guard-Forward,45,6.4,216,2019,1,14,Indiana,10/25/1999,2019,Present,2.5,0.4,1.3
Dan Langhi,,,,,,,2000,2,31,Vanderbilt,11/28/1977,2000,2003,3,0.3,1.5
Bob Lanier,Pistons,Detroit,Center,16,6.1,250,1970,1,1,St. Bonaventure,9/10/1948,1970,1983,20.1,3.1,10.1
Stu Lantz,Rockets,Houston,Guard,23,6.3,175,1968,3,23,Nebraska,7/13/1946,1968,1975,12.4,2.9,3.3
Nicolas Laprovittola,,,,,,,Undrafted,Undrafted,Undrafted,,1/31/1990,2016,2016,3.3,1.6,0.6
York Larese,Warriors,Philadelphia,Guard,34,6.4,183,1961,2,20,North Carolina,7/18/1938,1961,1961,5.1,1.6,1.3
Shane Larkin,Nets,Brooklyn,Guard,8,5.11,175,2013,1,18,Miami,10/2/1992,2013,2017,5.5,2.9,1.9
John Laskowski,Bulls,Chicago,Guard,31,6.6,185,1975,2,32,Indiana,6/7/1953,1975,1976,7.1,0.8,2.4
Stephane Lasme,Heat,Miami,Forward,45,6.8,215,2007,2,46,Massachusetts,12/17/1982,2007,2007,5.2,0.2,3.3
Dave Lattin,Suns,Phoenix,Forward,43,6.6,225,1967,1,10,Texas-El Paso,12/23/1943,1967,1968,4.5,0.6,3.8
Priest Lauderdale,Nuggets,Denver,Center,30,7.4,325,1996,1,28,,8/31/1973,1996,1997,3.4,0.4,1.9
Rich Laurel,Bucks,Milwaukee,Guard,12-May,6.6,190,1977,1,19,Hofstra,7/11/1954,1977,1977,2.4,0.3,1
Walt Lautenbach,Redskins,Sheboygan,Forward,,6.2,185,Undrafted,Undrafted,Undrafted,Wisconsin,11/17/1922,1949,1949,4.3,1.3,
Joffrey Lauvergne,Nuggets,Denver,Center,77,6.1,260,2013,2,55, ,9/30/1991,2014,2017,5.6,0.9,3.8
Tony Lavelli,Celtics,Boston,Forward,16-Jun,6.3,185,1949,1,4,Yale,7/11/1926,1949,1950,6.9,0.7,2
Bob Lavoy,Olympians,Indianapolis,Forward,16,6.7,185,1950,1,8,Western Kentucky,6/29/1926,1950,1953,8.2,1.5,6.2
Acie Law,Hawks,Atlanta,Guard,2,6.3,202,2007,1,11,Texas A&M,1/25/1985,2007,2010,3.9,1.6,1
Vic Law,Magic,Orlando,Forward,23,6.7,201,Undrafted,Undrafted,Undrafted,Northwestern,12/19/1995,2019,Present,1.9,0.4,1.4
Gani Lawal,Suns,Phoenix,Forward,31,6.9,234,2010,2,46,Georgia Tech,11/7/1988,2010,2010,0,0,0
Ed Lawrence,Pistons,Detroit,Center,,6.1,228,1976,5,84,McNeese State,12/8/1952,1980,1980,4,0.3,1.3
Jason Lawson,Magic,Orlando,Center,55,6.1,240,1997,2,41,Villanova,9/2/1974,1997,2002,1.5,0.3,1.6
Ty Lawson,Nuggets,Denver,Guard,4,5.11,195,2009,1,18,North Carolina,11/3/1987,2009,2017,12.7,6,2.7
Jake Layman,Timberwolves,Minnesota,Forward,10,6.8,209,2016,2,47,Maryland,3/7/1994,2016,Present,9.1,0.7,2.5
Dennis Layton,Suns,Phoenix,Guard,1,6.1,180,1971,3,48,Southern California,12/24/1948,1971,1977,6.9,2.6,1.3
Caris LeVert,Nets,Brooklyn,Guard,22,6.6,205,2016,1,20,Michigan,8/25/1994,2016,Present,18.7,4.4,4.2
TJ Leaf,Pacers,Indiana,Forward,22,6.1,222,2017,1,18,UCLA,4/30/1997,2017,Present,3,0.3,2.5
Emanuel Leaks,76ers,Philadelphia,Center,24,6.8,225,1968,2,20,Niagara,11/27/1945,1972,1973,8.3,0.9,6.8
Hal Lear,Warriors,Philadelphia,Guard,16,5.11,163,1956,1,7,Temple,1/31/1935,1956,1956,1.3,0.3,0.3
Allen Leavell,Rockets,Houston,Guard,30,6.1,170,1979,5,104,Oklahoma City,5/27/1957,1979,1988,9.5,4.8,1.7
Jeff Lebo,Spurs,San Antonio,Forward,12,6.2,180,Undrafted,Undrafted,Undrafted,North Carolina,10/5/1966,1989,1989,1.5,0.8,1
Eric Leckner,Jazz,Utah,Center,55,6.1,265,1988,1,17,Wyoming,5/27/1966,1988,1996,4.1,0.5,3.2
Jalen Lecque,Suns,Phoenix,Guard,0,6.4,185,Undrafted,Undrafted,Undrafted, ,6/13/2000,2019,Present,2,0.4,0.4
Ricky Ledo,Mavericks,Dallas,Guard,11,6.7,195,2013,2,43,Providence,9/10/1992,2013,2014,3.9,0.8,1.4
Butch Lee,Hawks,Atlanta,Guard,15,6,185,1978,1,10,Marquette,12/5/1956,1978,1979,8.1,3.2,1.4
Clyde Lee,Warriors,Golden State,Forward,34,6.1,205,1966,1,3,Vanderbilt,3/14/1944,1966,1975,7.7,1.1,10.3
Courtney Lee,Mavericks,Dallas,Guard,1,6.5,215,2008,1,22,Western Kentucky,10/3/1985,2008,Present,4.5,0.5,1.3
Damion Lee,Warriors,Golden State,Guard-Forward,1,6.5,210,Undrafted,Undrafted,Undrafted,Louisville,10/21/1992,2017,Present,12.7,2.7,4.9
David Lee,Knicks,New York,Forward-Center,10,6.9,245,2005,1,30,Florida,4/29/1983,2005,2016,13.5,2.2,8.8
Doug Lee,Nets,New Jersey,Guard,20,6.5,200,1987,2,35,Purdue,10/24/1964,1991,1994,2.3,0.4,0.6
George Lee,Pistons,Detroit,Forward,9,6.4,200,1959,4,24,Michigan,11/23/1936,1960,1967,7.5,0.9,4.2
Greg Lee,Trail Blazers,Portland,Guard,42,6.3,190,1974,7,115,California-Los Angeles,12/12/1951,1975,1975,1.2,2.2,0.4
Keith Lee,Cavaliers,Cleveland,Forward,24,6.1,215,1985,1,11,Memphis,12/28/1962,1985,1988,6.1,1,4.7
Kurk Lee,Nets,New Jersey,Guard,20,6.3,190,Undrafted,Undrafted,Undrafted,Towson,6/3/1967,1990,1990,1.4,0.7,0.6
Malcolm Lee,,,,,,,2011,2,43,California-Los Angeles,5/22/1990,2011,2014,3.9,1.4,1.8
Rock Lee,Clippers,San Diego,Center,34,6.1,220,Undrafted,Undrafted,Undrafted,San Diego State,5/1/1955,1981,1981,1,1,0.5
Ron Lee,Suns,Phoenix,Guard,30,6.3,193,1976,1,10,Oregon,11/2/1952,1976,1981,7.3,3.8,2.7
Russell Lee,Bucks,Milwaukee,Forward,11,6.5,185,1972,1,6,Marshall,1/27/1950,1972,1974,2.9,0.7,1.2
Ed Leede,Celtics,Boston,Guard,5,6.3,185,1949,3,,Dartmouth,7/17/1927,1949,1950,7.8,1.9,2.1
Hank Lefkowitz,Rebels,Cleveland,Forward,,6.2,190,Undrafted,Undrafted,Undrafted,Case Western,8/31/1923,1946,1946,2.1,0.2,
Tim Legler,,,,,,,Undrafted,Undrafted,Undrafted,La Salle,12/26/1966,1989,1999,7,1.3,1.6
George Lehmann,Hawks,Atlanta,Guard,20,6,180,Undrafted,Undrafted,Undrafted,Campbell,5/1/1942,1967,1968,3.2,1.8,0.8
Walt Lemon Jr.,Bulls,Chicago,Guard,25,6.3,180,Undrafted,Undrafted,Undrafted,Bradley,7/26/1992,2017,2018,9.4,3.2,2.6
Alex Len,Kings,Sacramento,Center,25,7,250,2013,1,5,Maryland,6/16/1993,2013,Present,8,0.9,5.8
Voshon Lenard,Heat,Miami,Guard,0,6.4,215,1994,2,46,Minnesota,5/14/1973,1995,2005,11.9,2.1,2.8
Bob Leonard,Lakers,Los Angeles,Guard,21,6.3,185,1954,2,10,Indiana,7/17/1932,1956,1962,9.9,3.3,2.9
Gary Leonard,Timberwolves,Minnesota,Center,34,7.1,250,1989,2,34,Missouri,2/16/1967,1989,1991,1.4,0.1,1.1
Kawhi Leonard,Clippers,LA,Forward,2,6.7,225,2011,1,15,San Diego State,6/29/1991,2011,Present,27.1,4.9,7.1
Meyers Leonard,Heat,Miami,Forward-Center,0,7,260,2012,1,11,Illinois,2/27/1992,2012,Present,6.1,1.1,5.1
Jim Les,Kings,Sacramento,Guard,14,5.11,165,1986,3,70,Bradley,8/18/1963,1988,1994,3.8,2.9,1.2
Travis Leslie,,,,,,,2011,2,47,Georgia,3/29/1990,2011,2017,1.4,0.5,0.9
Ronnie Lester,Bulls,Chicago,Guard,12,6.2,175,1980,1,10,Iowa,1/1/1959,1980,1985,7.3,4,1.9
Clifford Lett,Spurs,San Antonio,Guard,11,6.3,170,Undrafted,Undrafted,Undrafted,Florida,12/23/1965,1989,1990,3.5,0.7,0.6
Jon Leuer,Pistons,Detroit,Forward,30,6.1,228,2011,2,40,Wisconsin,5/14/1989,2011,2018,6.4,0.8,3.8
Andrew Levane,Nationals,Syracuse,Forward,3,6.2,190,Undrafted,Undrafted,Undrafted,St. John's (NY),4/11/1920,1948,1952,4.5,2,1.3
Lafayette Lever,Nuggets,Denver,Guard,21,6.3,170,1982,1,11,Arizona State,8/18/1960,1982,1993,13.9,6.2,6
Cliff Levingston,Hawks,Atlanta,Forward,53,6.8,210,1982,1,9,Wichita State,1/4/1961,1982,1994,7.1,0.9,5.2
Bobby Lewis,Warriors,San Francisco,Guard,5,6.3,175,1967,4,39,North Carolina,3/20/1945,1967,1970,5.8,2.2,2.1
Cedric Lewis,Bullets,Washington,Forward,42,6.1,235,Undrafted,Undrafted,Undrafted,Maryland,9/24/1969,1995,1995,1.3,0,0.7
Fred Lewis,Bullets,Baltimore,Forward,,6.2,195,Undrafted,Undrafted,Undrafted,Eastern Kentucky,1/6/1921,1948,1949,8.4,1.4,
Freddie Lewis,Pacers,Indiana,Guard,1,6,175,1966,10,88,Arizona State,7/1/1943,1966,1976,5.8,1.5,1.4
Grady Lewis,Falcons,Detroit,Forward,,6.7,215,Undrafted,Undrafted,Undrafted,Oklahoma,3/25/1917,1946,1948,5.4,0.9,
Martin Lewis,Raptors,Toronto,Forward,32,6.6,225,1995,2,50,Seward County Community College,4/28/1975,1995,1996,3.6,0.3,1.4
Quincy Lewis,,,,,,,1999,1,19,Minnesota,6/26/1977,1999,2003,3.6,0.6,1.3
Ralph Lewis,Pistons,Detroit,Guard,11,6.6,200,1985,6,139,La Salle,3/28/1963,1987,1989,2.3,0.3,1.2
Rashard Lewis,SuperSonics,Seattle,Forward,9,6.1,235,1998,2,32,Elsik,8/8/1979,1998,2013,14.9,1.7,5.2
Reggie Lewis,Celtics,Boston,Guard,35,6.7,195,1987,1,22,Northeastern,11/21/1965,1987,1992,17.6,2.6,4.3
Marcus Liberty,Nuggets,Denver,Forward,30,6.8,205,1990,2,42,Illinois,10/27/1968,1990,1993,7.3,0.9,3.5
Todd Lichti,Nuggets,Denver,Guard,30,6.4,205,1989,1,15,Stanford,1/8/1967,1989,1993,7.9,1.4,2.1
DeAndre Liggins,Cavaliers,Cleveland,Guard,34,6.6,209,2011,2,53,Kentucky,3/31/1988,2011,2017,2,0.7,1.4
Bill Ligon,Pistons,Detroit,Guard,26,6.4,180,1974,10,175,Vanderbilt,5/19/1952,1974,1974,3.3,0.7,0.7
Damian Lillard,Trail Blazers,Portland,Guard,0,6.2,195,2012,1,6,Weber State,7/15/1990,2012,Present,30,8,4.3
Jeremy Lin,Raptors,Toronto,Guard,17,6.3,200,Undrafted,Undrafted,Undrafted,Harvard,8/23/1988,2010,2018,11.6,4.3,2.8
Steve Lingenfelter,Bullets,Washington,Forward,25,6.9,225,1981,2,44,South Dakota State,6/10/1958,1982,1983,1,0.5,1.6
Alton Lister,Bucks,Milwaukee,Center-Forward,53,7,245,1981,1,21,Arizona State,10/1/1958,1981,1997,6.6,1,6.3
Nassir Little,Trail Blazers,Portland,Forward-Guard,9,6.5,220,2019,1,25,North Carolina,2/11/2000,2019,Present,3.6,0.5,2.3
Randy Livingston,Suns,Phoenix,Guard,14,6.4,209,1996,2,42,Louisiana State,4/2/1975,1996,2006,3.8,2,1.4
Shaun Livingston,Warriors,Golden State,Guard,34,6.7,192,2004,1,4,No College,9/11/1985,2004,2018,6.3,3,2.4
Ron Livingstone,Warriors,Philadelphia,Center,6,6.1,220,1949,1,6,Wyoming,10/9/1925,1949,1950,6.3,1.9,4.7
Horacio Llamas,Suns,Phoenix,Center,54,6.1,285,Undrafted,Undrafted,Undrafted,Grand Canyon,7/17/1973,1996,2002,2.1,0.2,1.3
Earl Lloyd,Nationals,Syracuse,Forward,17,6.6,200,1950,9,,West Virginia State,4/3/1928,1950,1959,8.4,1.4,6.4
Lewis Lloyd,Rockets,Houston,Guard,32,6.6,205,1981,4,76,Drake,2/22/1959,1981,1989,13.2,2.9,3.1
Scott Lloyd,Mavericks,Dallas,Center,44,6.1,230,1976,2,24,Arizona State,12/19/1952,1976,1982,4.6,1,3
Bob Lochmueller,Nationals,Syracuse,Forward,14,6.5,185,1952,1,7,Louisville,6/5/1927,1952,1952,3.7,0.8,2.6
Robert Lock,Clippers,Los Angeles,Forward,44,6.9,225,1988,3,51,Kentucky,5/22/1966,1988,1988,1.5,0.2,1.6
